x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
0.6289,wesp,51.8045,40.0000,74.1666,300.0000,20.0000,0.0000
0.6338,wesp,51.1183,40.0000,74.0937,300.0000,20.0000,0.0000
0.6386,wesp,50.4413,40.0000,74.0209,300.0000,20.0000,0.0000
0.6435,wesp,49.7732,40.0000,73.9481,300.0000,20.0000,0.0000
0.6484,wesp,49.1140,40.0000,73.8755,300.0000,20.0000,0.0000
0.6532,wesp,48.4635,40.0000,73.8029,300.0000,20.0000,0.0000
0.6581,wesp,47.8216,40.0000,73.7303,300.0000,20.0000,0.0000
0.6630,wesp,47.1882,40.0000,73.6579,300.0000,20.0000,0.0000
0.6679,wesp,46.5632,40.0000,73.5855,300.0000,20.0000,0.0000
0.6727,wesp,45.9465,40.0000,73.5131,300.0000,20.0000,0.0000
0.6776,wesp,45.3379,40.0000,73.4409,300.0000,20.0000,0.0000
0.6825,wesp,44.7375,40.0000,73.3687,300.0000,20.0000,0.0000
0.6874,wesp,44.1449,40.0000,73.2966,300.0000,20.0000,0.0000
0.6923,wesp,43.5602,40.0000,73.2246,300.0000,20.0000,0.0000
0.6971,wesp,42.9833,40.0000,73.1526,300.0000,20.0000,0.0000
0.7020,wesp,42.4140,40.0000,73.0807,300.0000,20.0000,0.0000
0.7069,wesp,41.8522,40.0000,73.0089,300.0000,20.0000,0.0000
0.7117,wesp,41.2979,40.0000,72.9371,300.0000,20.0000,0.0000
0.7166,wesp,40.7509,40.0000,72.8655,300.0000,20.0000,0.0000
0.7215,wesp,40.2112,40.0000,72.7938,300.0000,20.0000,0.0000
0.7264,wesp,39.6786,40.0000,72.7223,300.0000,20.0000,0.0000
0.7312,wesp,39.1531,40.0000,72.6508,300.0000,20.0000,0.0000
0.7361,wesp,38.6345,40.0000,72.5794,300.0000,20.0000,0.0000
0.7410,wesp,38.1228,40.0000,72.5081,300.0000,20.0000,0.0000
0.7459,wesp,37.6179,40.0000,72.4368,300.0000,20.0000,0.0000
0.7508,wesp,37.1197,40.0000,72.3657,300.0000,20.0000,0.0000
0.7556,wesp,36.6280,40.0000,72.2945,300.0000,20.0000,0.0000
0.7605,wesp,36.1429,40.0000,72.2235,300.0000,20.0000,0.0000
0.7654,wesp,35.6642,40.0000,72.1525,300.0000,20.0000,0.0000
0.7702,wesp,35.1918,40.0000,72.0816,300.0000,20.0000,0.0000
