x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
0.7849,wesp,35.4636,40.0000,71.8693,300.0000,20.0000,0.0000
0.7897,wesp,35.0092,40.0000,71.7986,300.0000,20.0000,0.0000
0.7946,wesp,34.5607,40.0000,71.7281,300.0000,20.0000,0.0000
0.7995,wesp,34.1178,40.0000,71.6576,300.0000,20.0000,0.0000
0.8044,wesp,33.6807,40.0000,71.5872,300.0000,20.0000,0.0000
0.8093,wesp,33.2492,40.0000,71.5168,300.0000,20.0000,0.0000
0.8141,wesp,32.8231,40.0000,71.4465,300.0000,20.0000,0.0000
0.8190,wesp,32.4026,40.0000,71.3763,300.0000,20.0000,0.0000
0.8239,wesp,31.9874,40.0000,71.3061,300.0000,20.0000,0.0000
0.8287,wesp,31.5776,40.0000,71.2361,300.0000,20.0000,0.0000
0.8336,wesp,31.1730,40.0000,71.1661,300.0000,20.0000,0.0000
0.8385,wesp,30.7736,40.0000,71.0961,300.0000,20.0000,0.0000
0.8434,wesp,30.3793,40.0000,71.0262,300.0000,20.0000,0.0000
0.8482,wesp,29.9900,40.0000,70.9564,300.0000,20.0000,0.0000
0.8531,wesp,29.6058,40.0000,70.8867,300.0000,20.0000,0.0000
0.8580,wesp,29.2264,40.0000,70.8170,300.0000,20.0000,0.0000
0.8629,wesp,28.8519,40.0000,70.7474,300.0000,20.0000,0.0000
0.8678,wesp,28.4823,40.0000,70.6779,300.0000,20.0000,0.0000
0.8726,wesp,28.1173,40.0000,70.6084,300.0000,20.0000,0.0000
0.8775,wesp,27.7571,40.0000,70.5390,300.0000,20.0000,0.0000
0.8824,wesp,27.4014,40.0000,70.4697,300.0000,20.0000,0.0000
0.8872,wesp,27.0503,40.0000,70.4005,300.0000,20.0000,0.0000
0.8921,wesp,26.7037,40.0000,70.3313,300.0000,20.0000,0.0000
0.8970,wesp,26.3616,40.0000,70.2621,300.0000,20.0000,0.0000
0.9019,wesp,26.0238,40.0000,70.1931,300.0000,20.0000,0.0000
0.9067,wesp,25.6904,40.0000,70.1241,300.0000,20.0000,0.0000
0.9116,wesp,25.3612,40.0000,70.0552,300.0000,20.0000,0.0000
0.9165,wesp,25.0363,40.0000,69.9863,300.0000,20.0000,0.0000
0.9214,wesp,24.7155,40.0000,69.9176,300.0000,20.0000,0.0000
0.9263,wesp,24.3988,40.0000,69.8488,300.0000,20.0000,0.0000
0.9311,wesp,24.0862,40.0000,69.7802,300.0000,20.0000,0.0000
0.9360,wesp,23.7776,40.0000,69.7116,300.0000,20.0000,0.0000
0.9409,wesp,23.4729,40.0000,69.6431,300.0000,20.0000,0.0000
0.9457,wesp,23.1722,40.0000,69.5747,300.0000,20.0000,0.0000
0.9506,wesp,22.8753,40.0000,69.5063,300.0000,20.0000,0.0000
0.9555,wesp,22.5822,40.0000,69.4380,300.0000,20.0000,0.0000
0.9604,wesp,22.2928,40.0000,69.3697,300.0000,20.0000,0.0000
0.9653,wesp,22.0072,40.0000,69.3016,300.0000,20.0000,0.0000
0.9701,wesp,21.7252,40.0000,69.2334,300.0000,20.0000,0.0000
0.9750,wesp,21.4469,40.0000,69.1654,300.0000,20.0000,0.0000
0.9799,wesp,21.1721,40.0000,69.0974,300.0000,20.0000,0.0000
0.9848,wesp,20.9008,40.0000,69.0295,300.0000,20.0000,0.0000
0.9896,wesp,20.6330,40.0000,68.9617,300.0000,20.0000,0.0000
0.9945,wesp,20.3686,40.0000,68.8939,300.0000,20.0000,0.0000
0.9994,wesp,20.1076,40.0000,68.8262,300.0000,20.0000,0.0000
1.0043,wesp,19.8500,40.0000,68.7585,300.0000,20.0000,0.0000
1.0091,wesp,19.5957,40.0000,68.6910,300.0000,20.0000,0.0000
1.0140,wesp,19.3446,40.0000,68.6235,300.0000,20.0000,0.0000
1.0189,wesp,19.0967,40.0000,68.5560,300.0000,20.0000,0.0000
1.0237,wesp,18.8520,40.0000,68.4886,300.0000,20.0000,0.0000
1.0286,wesp,18.6105,40.0000,68.4213,300.0000,20.0000,0.0000
1.0335,wesp,18.3720,40.0000,68.3541,300.0000,20.0000,0.0000
1.0384,wesp,18.1366,40.0000,68.2869,300.0000,20.0000,0.0000
1.0433,wesp,17.9043,40.0000,68.2198,300.0000,20.0000,0.0000
1.0481,wesp,17.6749,40.0000,68.1527,300.0000,20.0000,0.0000
1.0530,wesp,17.4484,40.0000,68.0858,300.0000,20.0000,0.0000
1.0579,wesp,17.2248,40.0000,68.0189,300.0000,20.0000,0.0000
1.0628,wesp,17.0041,40.0000,67.9520,300.0000,20.0000,0.0000
1.0676,wesp,16.7863,40.0000,67.8852,300.0000,20.0000,0.0000
1.0725,wesp,16.5712,40.0000,67.8185,300.0000,20.0000,0.0000
1.0774,wesp,16.3589,40.0000,67.7518,300.0000,20.0000,0.0000
1.0822,wesp,16.1493,40.0000,67.6853,300.0000,20.0000,0.0000
1.0871,wesp,15.9423,40.0000,67.6187,300.0000,20.0000,0.0000
1.0920,wesp,15.7381,40.0000,67.5523,300.0000,20.0000,0.0000
1.0969,wesp,15.5364,40.0000,67.4859,300.0000,20.0000,0.0000
1.1018,wesp,15.3374,40.0000,67.4196,300.0000,20.0000,0.0000
1.1066,wesp,15.1408,40.0000,67.3533,300.0000,20.0000,0.0000
1.1115,wesp,14.9468,40.0000,67.2871,300.0000,20.0000,0.0000
1.1164,wesp,14.7553,40.0000,67.2210,300.0000,20.0000,0.0000
1.1213,wesp,14.5663,40.0000,67.1549,300.0000,20.0000,0.0000
1.1261,wesp,14.3796,40.0000,67.0889,300.0000,20.0000,0.0000
1.1310,wesp,14.1954,40.0000,67.0230,300.0000,20.0000,0.0000
1.1359,wesp,14.0135,40.0000,66.9571,300.0000,20.0000,0.0000
1.1407,wesp,13.8340,40.0000,66.8913,300.0000,20.0000,0.0000
1.1456,wesp,13.6567,40.0000,66.8256,300.0000,20.0000,0.0000
1.1505,plasma,13.4817,40.0000,66.7599,300.0000,20.0000,0.0000
1.1554,plasma,13.4817,39.6023,67.1576,298.9812,42.4787,95.1208
1.1603,plasma,13.4817,39.2074,67.5525,297.9659,64.9563,95.1210
1.1651,plasma,13.4817,38.8154,67.9445,296.9541,87.4328,95.1211
1.1700,plasma,13.4817,38.4262,68.3337,295.9457,109.9083,95.1213
1.1749,plasma,13.4817,38.0400,68.7199,294.9407,132.3829,95.1214
1.1798,plasma,13.4817,37.6565,69.1034,293.9391,154.8565,95.1216
1.1846,plasma,13.4817,37.2759,69.4840,292.9409,177.3291,95.1218
1.1895,plasma,13.4817,36.8981,69.8618,291.9461,199.8008,95.1219
1.1944,plasma,13.4817,36.5232,70.2367,290.9547,222.2715,95.1221
1.1992,plasma,13.4817,36.1511,70.6088,289.9667,244.7414,95.1222
1.2041,plasma,13.4817,35.7817,70.9782,288.9820,267.2104,95.1224
1.2090,plasma,13.4817,35.4152,71.3447,288.0006,289.6785,95.1225
1.2139,plasma,13.4817,35.0515,71.7084,287.0226,312.1458,95.1227
1.2188,plasma,13.4817,34.6905,72.0694,286.0479,334.6123,95.1228
1.2236,plasma,13.4817,34.3323,72.4276,285.0765,357.0780,95.1230
1.2285,plasma,13.4817,33.9769,72.7830,284.1084,379.5429,95.1231
1.2334,plasma,13.4817,33.6242,73.1357,283.1437,402.0070,95.1233
1.2383,plasma,13.4817,33.2743,73.4856,282.1821,424.4704,95.1234
1.2431,plasma,13.4817,32.9271,73.8328,281.2239,446.9331,95.1236
